Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Xanthomonas axonopodis pv. punicae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented colonies","Plant pathogen, causes leaf spots in pomegranate","25,28,30,37","7,7.2,7.5",Aerobe
Pseudomonas viridiflava,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm, Green pigment","Plant pathogen, causes leaf spots in various plants","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas fragariae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented colonies","Plant pathogen, causes angular leaf spots in strawberry","25,28,30,37","7,7.2,7.5",Aerobe
Pseudomonas savastanoi,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm","Plant pathogen, causes knot disease in olive and oleander","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas translucens,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented translucent colonies","Plant pathogen, causes cereals and grasses bacterial leaf streak","25,28,30,37","7,7.2,7.5",Aerobe
Pseudomonas corrugata,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm","Plant pathogen, causes tomato pith necrosis","25,28,30,37","6.5,7,7.5",Aerobe
Erwinia persicina,"Rod-shaped, gram negative, 0.5 to 0.7 micrometers in diameter, motile with peritrichous flagella",Gram negative,Luria Bertani Broth or Nutrient Agar,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 1.0 g, Agar 1.2 g","Gram negative rod, Oxidase negative, Catalase positive, Motile, Produces small translucent colonies","Plant pathogen, causes disease in stone fruits","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Pantoea agglomerans,"Rod-shaped, motile, gram negative, 0.5 to 0.8 micrometers in diameter",Gram negative,MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase negative, Catalase positive, Motile, Ferments lactose with gas","Environmental organism, plant pathogen, rare human pathogen","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Xanthomonas campestris pv. campestris,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented mucoid colonies, Produces xanthan gum","Plant pathogen, causes black rot in brassicas","25,28,30,37","7,7.2,7.5",Aerobe
Pseudomonas beteli,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm","Plant pathogen, causes leaf spots in betel plant","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas hortorum,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented colonies","Plant pathogen, causes bacterial spot in plants","25,28,30,37","7,7.2,7.5",Aerobe
Pseudomonas viridilivida,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm, Green-yellow pigment","Plant pathogen, causes leaf spots","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas axonopodis,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented colonies","Plant pathogen, causes bacterial spots on citrus and other plants","25,28,30,37","7,7.2,7.5",Aerobe
Pectobacterium atrosepticum,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with peritrichous flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Crystal Violet Pectate medium,"Proteose peptone 2.0 g, Glycerol 1.0 ml, Dipotassium hydrogen phosphate 0.15 g, Magnesium sulfate 0.15 g, Agar 1.5 g, Crystal violet 0.001 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Pectinolytic enzymes positive","Plant pathogen, causes potato soft rot","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Clavibacter sepedonicus,"Rod-shaped, gram positive, 0.5 to 0.8 micrometers in diameter, non-motile",Gram positive,Nutrient Agar or Trypticase Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,Nutrient agar with specific indicators,"Gram positive rod, Catalase positive, Non-motile, Slow growing, Produces small translucent colonies","Plant pathogen, causes bacterial ring rot in potato","25,28,30,37","6.5,7,7.5",Aerobe
Ralstonia syzygii,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,SMSA Medium or Potato Dextrose Agar,"Potato extract 2.0 g, Dextrose 0.1 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",SMSA selective medium,"Potato extract 2.0 g, Dextrose 0.1 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g with selective antibiotics","Gram negative rod, Oxidase positive, Catalase positive, Motile, Aerobic, Produces yellow mucoid colonies","Plant pathogen, causes bacterial wilt in ginger and curcuma","28,30,32,37","6.5,7,7.5",Aerobe
Pseudomonas cichorii,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm","Plant pathogen, causes bacterial leaf rot in endive and other plants","25,28,30,37","6.5,7,7.5",Aerobe
Pseudomonas caryophylli,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent under UV at 254 nm","Plant pathogen, causes carnation wilt","25,28,30,37","6.5,7,7.5",Aerobe
Pseudomonas tolaasii,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fluorescent, Produces brown spots","Plant pathogen, causes bacterial brown spot in mushrooms","25,28,30,37","6.5,7,7.5",Aerobe
Erwinia herbicola,"Rod-shaped, gram negative, 0.5 to 0.7 micrometers in diameter, motile with peritrichous flagella",Gram negative,Luria Bertani Broth or Nutrient Agar,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 1.0 g, Agar 1.2 g","Gram negative rod, Oxidase negative, Catalase positive, Motile, Produces small translucent colonies","Plant pathogen, epiphyte, causes disease in various plants","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Xanthomonas campestris pv. vesicatoria,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented colonies","Plant pathogen, causes bacterial spot in pepper and tomato","25,28,30,37","7,7.2,7.5",Aerobe
Agrobacterium radiobacter,"Rod-shaped, gram negative, 0.5 to 1 micrometer in diameter, motile with polar flagella",Gram negative,YM Medium or Trypticase Soy Agar,"Yeast extract 0.3 g, Malt extract 0.3 g, Peptone 0.5 g, Dextrose 0.1 g, Agar 1.5 g",Selective medium,YM agar with selective antibiotics,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Produces small white colonies","Environmental organism, biocontrol agent, non-pathogenic Agrobacterium","25,28,30,37","6.5,7,7.5",Aerobe
Acidovorax citrulli,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Nutrient Agar or King B Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Proteose peptone 20.0 g, Glycerol 10.0 ml, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate 1.5 g, Agar 15.0 g, Crystal violet 0.001 g per","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fluorescent","Plant pathogen, causes bacterial fruit blotch in melons and watermelons","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas arboricola pv. juglandis,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented colonies","Plant pathogen, causes walnut blight","25,28,30,37","7,7.2,7.5",Aerobe
Pectobacterium wasabiae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with peritrichous flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Magnesium sulfate 0.15 g, Potassium phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Crystal Violet Pectate medium,"Proteose peptone 2.0 g, Glycerol 1.0 ml, Dipotassium hydrogen phosphate 0.15 g, Magnesium sulfate 0.15 g, Agar 1.5 g, Crystal violet 0.001 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Pectinolytic enzymes positive","Plant pathogen, causes soft rot in wasabi plant","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Xanthomonas oryzae pv. oryzae,"Rod-shaped, gram negative, 0.5 to 0.8 micrometers in diameter, motile with polar flagella",Gram negative,Yeast Extract Peptone Glucose Agar,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigmented mucoid colonies","Plant pathogen, causes bacterial leaf blight and bacterial leaf streak in rice","25,28,30,37","7,7.2,7.5",Aerobe
Pseudomonas corrugata,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,King B Medium,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Oxidase positive, Catalase positive, Motile, Fluorescent UV 254nm","Plant pathogen, tomato pith necrosis","25,28,30,37","6.5,7,7.5",Aerobe
Pectobacterium betavasculorum,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,Crystal Violet Pectate Medium or TSB,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Crystal violet 0.001 g, Agar 1.5 g",CVP Medium,"Sodium polypectate 18.0 g, Sodium hydroxide 0.36 g, Sodium nitrate 2.0 g, Calcium chloride H2O 0.6 g, Crystal violet 0.0015 g, Sodium lauryl sulphate 0.1 g, Agar 4.0 g ","Gram negative rod, Oxidase positive, Catalase positive, Pectinolytic","Plant pathogen, sugar beet vascular necrosis","15,20,25,28","6.5,7,7.5",Facultative anaerobe
Dickeya solani,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,Nutrient Agar or LB Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Crystal Violet Pectate medium," Tryptone 0.5 g, Yeast extract 0.3 g, Sodium chloride 0.5 g, Crystal violet 0.001 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Pectinolytic","Plant pathogen, potato blackleg","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Pseudomonas marginalis,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,King B Medium,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Proteose peptone 20.0 g, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate heptahydrate 1.5 g","Oxidase positive, Catalase positive, Motile, Fluorescent UV 254nm","Plant pathogen, leaf rot in vegetables","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas phaseoli,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,YPGA or TSA,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Oxidase positive, Catalase positive, Motile, Yellow pigmented","Plant pathogen, bean bacterial blight","25,28,30,37","7,7.2,7.5",Aerobe
Rhodococcus fascians,"Rod-shaped, gram positive, branching, 0.5-1 μm",Gram positive,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod, Catalase positive, Non-motile, Slow growing","Plant pathogen, fasciation disease in ornamentals","25,28,30,37","6.5,7,7.5",Aerobe
Xanthomonas hortorum,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,YPGA or TSA,"Yeast extract 0.1 g, Peptone 0.1 g, Glucose 0.05 g, Agar 1.5 g",Selective Xanthomonas medium,"Peptone 2.0 g, Yeast extract 1.0 g, Dextrose 2.0 g, Agar 1.5 g","Oxidase positive, Catalase positive, Motile, Yellow pigmented","Plant pathogen, bacterial spot in plants","25,28,30,37","7,7.2,7.5",Aerobe
Candidatus Liberibacter asiaticus,"Rod-shaped, gram negative, 0.39-0.67 μm, fastidious",Gram negative,Cell culture or insect vectors (non-culturable),N/A - obligate intracellular pathogen,Cannot be cultured on artificial media,"Molecular detection only (PCR, qPCR)","Fastidious, cannot culture on standard media, phloem-limited","Plant and insect pathogen, citrus huanglongbing","20,25,30,37","6.5,7,7.5",Obligate intracellular/fastidious
Candidatus Phytoplasma spp.,"Pleomorphic, irregular, gram-negative, 0.2-0.8 μm, no cell wall",Gram negative,Cannot be cultured in vitro (insect/plant hosts),N/A - obligate intracellular,N/A - cannot culture,"Detected by molecular methods, electron microscopy","No cell wall, obligate intracellular, phloem-limited",Phytoplasma diseases in various plants,"20,25,30,37","6.5,7,7.5",Obligate intracellular
Pseudomonas fuscovaginae,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,King B Medium,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Proteose peptone 20.0 g, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate heptahydrate 1.5 g","Oxidase positive, Catalase positive, Motile, Fluorescent UV 254nm","Plant pathogen, rice sheath rot","25,28,30,37","6.5,7,7.5",Aerobe
Azospirillum brasilense,"Rod-shaped, gram negative, 0.7-0.9 μm, motile polar flagella",Gram negative,Semi-solid NFb Medium,"Malic acid 5.0 g, K2HPO4 0.5 g, MgSO4 0.2 g, NaCl 0.1 g, CaCO3 5.0 g, Agar 1.5 g",NFb semi-solid medium,"DL-malic acid 0.5 g, KOH 0.4 g, K2HPO4 0.05 g, MgSO4·7H2O 0.01 g, NaCl 0.002 g, CaCl2 0.001 g, Na2MoO4 0.0002 g, FeSO4·7H2O 0.005 g, Bromothymol blue 0.002 ml (0.5% solution), Agar 0.175 g","Gram negative rod, Motile, Diazotroph, Aerotactic","Plant rhizosphere colonizer, nitrogen-fixing","25,30,37","6.8,7,7.2",Aerobe/microaerophile
